ID,Name,Rank,Rarity_Score,Attributes,Base Blocks,Height,Palette,Shadow,Sky,Sun,Window
1168196,BRUTALIST MOVEMENT #191,56,66.21769420982636,7,7,Tall,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168188,BRUTALIST MOVEMENT #183,57,65.88095951594882,7,3,Tall,Tosh Two,Indigo,White,Cerulean,Blaze Orange
1168081,BRUTALIST MOVEMENT #78,58,65.73652523841102,7,4,Medium,Signature,Blue,Black,White,Red
1168176,BRUTALIST MOVEMENT #171,58,65.73652523841102,7,4,Medium,Signature,Blue,Black,White,Red
1168231,BRUTALIST MOVEMENT #222,60,65.63243500402037,7,8,Medium,Station,Thunder,Steel Blue,Flame Pea,White
1168343,BRUTALIST MOVEMENT #243,61,65.48652523841102,7,7,Medium,Signature,Blue,Black,White,Red
1168111,BRUTALIST MOVEMENT #108,62,65.42824046908439,7,5,Medium,Tosh Two,Indigo,Black,Cerulean,Deep Pink
1168073,BRUTALIST MOVEMENT #70,63,64.97782714781094,7,6,Tall,Signature Plus,Black,White,Red,Deep Lemon
1168179,BRUTALIST MOVEMENT #174,64,64.89525551684088,7,4,Medium,Station,Thunder,Steel Blue,Flame Pea,White
1168244,BRUTALIST MOVEMENT #229,65,64.79788404681521,7,5,Tall,Signature Plus,Black,White,Red,Deep Lemon
